1.719999999999999585e-01,2.680159792666153746e-06
1.929999999999999771e-01,3.022466179883117075e-06
2.479999999999999705e-01,3.074246222152349354e-06
2.499999999999999722e-01,3.074246222152349354e-06
2.599999999999999534e-01,3.074246222152349354e-06
2.699999999999999623e-01,3.074246222152349354e-06
2.799999999999999711e-01,3.074246222152349354e-06
2.899999999999999245e-01,3.074246222152349354e-06
2.999999999999999889e-01,3.074246222152349354e-06
3.019999999999999907e-01,1.823555331435185261e-06
3.029999999999999916e-01,1.332699223117707089e-06
3.039999999999999925e-01,9.535322765270914905e-07
3.059999999999999942e-01,4.370341201728658782e-07
3.069999999999999951e-01,2.800216222206656846e-07
3.079999999999999960e-01,1.717820793331658693e-07
3.099999999999999423e-01,5.697697185726602702e-08
3.119999999999999440e-01,1.394363787124975893e-08
3.139999999999999458e-01,1.770464709853800373e-09
3.159999999999999476e-01,5.958976373559549506e-11
3.169999999999999485e-01,8.906106695208458980e-12
3.179999999999999494e-01,3.992728424429319989e-13
3.199999999999999512e-01,2.875279361053614638e-11
3.209999999999999520e-01,2.332638531641251848e-09
3.219999999999999529e-01,2.333235359918835083e-08
3.239999999999999547e-01,1.977112119010588452e-06
3.259999999999999565e-01,4.197856174384333958e-05
3.279999999999999583e-01,3.810507419861137914e-04
3.299999999999999600e-01,1.871338365819805822e-03
3.309999999999999609e-01,3.416623375472422827e-03
3.319999999999999618e-01,5.846728001564429830e-03
3.339999999999999636e-01,1.295931721260453265e-02
3.349999999999999645e-01,1.743116148840430715e-02
3.359999999999999654e-01,2.306081182747621305e-02
3.379999999999999671e-01,3.509263662737254624e-02
3.389999999999999680e-01,4.131877645131654814e-02
3.399999999999999689e-01,4.840542830787186029e-02
3.419999999999999707e-01,6.195371627508969303e-02
3.439999999999999725e-01,7.502255642260294288e-02
3.459999999999999742e-01,8.772453245449390868e-02
3.479999999999999760e-01,9.848675100141954242e-02
3.499999999999999778e-01,1.088981154368172388e-01
3.519999999999999796e-01,1.175674984651752519e-01
3.539999999999999813e-01,1.260583753080377345e-01
3.559999999999999831e-01,1.333148272656318745e-01
3.579999999999999849e-01,1.405040321287109040e-01
3.599999999999999867e-01,1.463382244682390476e-01
3.619999999999999885e-01,1.520721329524625520e-01
3.639999999999999902e-01,1.570386249994812911e-01
3.649999999999999356e-01,1.591975098182052684e-01
3.659999999999999920e-01,1.613802619966624718e-01
3.679999999999999938e-01,1.651361849114378888e-01
3.699999999999999956e-01,1.701435417427190899e-01
3.719999999999999973e-01,1.755577708761754119e-01
3.739999999999999991e-01,1.803313636795023656e-01
3.759999999999999454e-01,1.844754518900865725e-01
3.779999999999999472e-01,1.903982122862363513e-01
3.799999999999999489e-01,1.962122771301374191e-01
3.819999999999999507e-01,2.022447180016991586e-01
3.839999999999999525e-01,2.081360137271562605e-01
3.859999999999999543e-01,2.150581308027622318e-01
3.869999999999999551e-01,2.183376188450049105e-01
3.879999999999999005e-01,2.216596471356770681e-01
3.899999999999999023e-01,2.291838391941789232e-01
3.909999999999999032e-01,2.329010908755925480e-01
3.919999999999999041e-01,2.366666672681631556e-01
3.939999999999999059e-01,2.443150967155084674e-01
3.949999999999999067e-01,2.481382105834820662e-01
3.959999999999999076e-01,2.520009357858079002e-01
3.979999999999999094e-01,2.591258147698490277e-01
3.999999999999999667e-01,2.679220517212793085e-01
4.009999999999999676e-01,2.965464791312243942e-01
4.019999999999999685e-01,3.068313061554449050e-01
4.029999999999999694e-01,2.888257591240406819e-01
4.039999999999999702e-01,2.386302256425471280e-01
4.049999999999999711e-01,2.506035570018906311e-01
4.059999999999999720e-01,2.764320923000027075e-01
4.069999999999999729e-01,3.016932920576670951e-01
4.079999999999999738e-01,3.315550379286938409e-01
4.089999999999999747e-01,3.395363180717114737e-01
4.100000000000000311e-01,3.295073941472224655e-01
4.110000000000000320e-01,3.081773780902444249e-01
4.120000000000000329e-01,2.940080645229876111e-01
4.130000000000000338e-01,3.167751009261862705e-01
4.140000000000000346e-01,3.042993657879380920e-01
4.150000000000000355e-01,3.005170414122323996e-01
4.160000000000000364e-01,3.306178564287585164e-01
4.169999999999999263e-01,3.383033253203993063e-01
4.179999999999999272e-01,3.404911875891282191e-01
4.189999999999999281e-01,3.616753185450952146e-01
4.199999999999999289e-01,3.790664177181864991e-01
4.209999999999999298e-01,3.407418136538375997e-01
4.219999999999999307e-01,3.342641504259779572e-01
4.229999999999999316e-01,3.661636679889869739e-01
4.239999999999999325e-01,3.764860256922810122e-01
4.249999999999999334e-01,3.542263908247724191e-01
4.259999999999999343e-01,3.717203894216710158e-01
4.269999999999999352e-01,4.094489628111676605e-01
4.279999999999999361e-01,4.195755329090118391e-01
4.289999999999999369e-01,4.243821701548780023e-01
4.299999999999999378e-01,4.243175294670953335e-01
4.309999999999999387e-01,4.158173884533552522e-01
4.319999999999999396e-01,3.917549124850158715e-01
4.329999999999999405e-01,3.949893701058545536e-01
4.339999999999999414e-01,4.283777527451089195e-01
4.349999999999999423e-01,4.499574842879052183e-01
4.359999999999999432e-01,4.572605076558939330e-01
4.369999999999999440e-01,4.509719777275804642e-01
4.379999999999999449e-01,4.241887629010840932e-01
4.389999999999999458e-01,3.821143804270462074e-01
4.399999999999999467e-01,3.910848056661888617e-01
4.409999999999999476e-01,4.289050689479090850e-01
4.419999999999999485e-01,4.503612679862183388e-01
4.429999999999999494e-01,4.573333286256929253e-01
4.439999999999999503e-01,4.584440078446451738e-01
4.449999999999999512e-01,4.493834829218699145e-01
4.459999999999999520e-01,4.125557334654564312e-01
4.469999999999999529e-01,3.461597618396282661e-01
4.479999999999999538e-01,3.438151908791198808e-01
4.489999999999999547e-01,4.238112529401807382e-01
4.499999999999999556e-01,4.621565082706358130e-01
4.509999999999999565e-01,4.644445997870154108e-01
4.519999999999999574e-01,4.586391666323654803e-01
4.529999999999999583e-01,4.614697663635315417e-01
4.539999999999999036e-01,4.191944976078100238e-01
4.549999999999999045e-01,3.521386817683408443e-01
4.559999999999999054e-01,3.604643405652657728e-01
4.569999999999999063e-01,4.414185443687135280e-01
4.579999999999999072e-01,4.771324170335269899e-01
4.589999999999999081e-01,4.757409047711986805e-01
4.599999999999999090e-01,4.691744891620777125e-01
4.609999999999999098e-01,4.064993315904058546e-01
4.619999999999999107e-01,3.454267759330864607e-01
4.629999999999999116e-01,3.330498107771737160e-01
4.639999999999999125e-01,2.644422947311844130e-01
4.649999999999999134e-01,2.726344302354279381e-01
4.659999999999999143e-01,3.865329882157901298e-01
4.669999999999999152e-01,4.276108930796004848e-01
4.679999999999999161e-01,3.879629331448579688e-01
4.689999999999999170e-01,3.331733143026793242e-01
4.699999999999999178e-01,3.635373829337029683e-01
4.709999999999999187e-01,3.478897425204678928e-01
4.719999999999999196e-01,2.897712782047989211e-01
4.729999999999999205e-01,2.624553635223481063e-01
4.739999999999999214e-01,3.589595352548807794e-01
4.749999999999999223e-01,4.060240217780505811e-01
4.759999999999999232e-01,3.935994265011791282e-01
4.769999999999999241e-01,3.489980482764381553e-01
4.779999999999999249e-01,3.555283006252837885e-01
4.789999999999999258e-01,4.320420083451720350e-01
4.799999999999999267e-01,4.863637026909682914e-01
4.809999999999999276e-01,5.044237063113874431e-01
4.819999999999999285e-01,4.953227458002140704e-01
4.829999999999999294e-01,4.454877389659702147e-01
4.839999999999999303e-01,3.954766811321361875e-01
4.849999999999999312e-01,4.329411878072700337e-01
4.859999999999999321e-01,4.684503435997872112e-01
4.869999999999999329e-01,4.889542861546500307e-01
4.879999999999999338e-01,4.953785257677448262e-01
4.889999999999999347e-01,4.822136365170806571e-01
4.899999999999999356e-01,4.483563604030879612e-01
4.909999999999999365e-01,4.039445496245072098e-01
4.919999999999999374e-01,3.725615617415051206e-01
4.929999999999999383e-01,3.585229848493750038e-01
4.939999999999999392e-01,3.436048440115328506e-01
4.949999999999999400e-01,3.206050263783690180e-01
4.959999999999999409e-01,3.006623800172785743e-01
4.969999999999999418e-01,3.012772962509833730e-01
4.979999999999999427e-01,3.329515048526681120e-01
4.989999999999999436e-01,3.863774936135572768e-01
4.999999999999999445e-01,4.045204904116689870e-01
5.009999999999998899e-01,3.729619999110941331e-01
5.019999999999998908e-01,3.591776427662425886e-01
5.029999999999998916e-01,3.446908513830341247e-01
5.039999999999998925e-01,3.234256630815063871e-01
5.049999999999998934e-01,3.056247233172893485e-01
5.059999999999998943e-01,3.079323539989703429e-01
5.069999999999998952e-01,2.538050586708994749e-01
5.079999999999998961e-01,1.780897634589572731e-01
5.089999999999998970e-01,2.794010768773195763e-01
5.099999999999998979e-01,4.033800556954164618e-01
